the_geom,cost_estimate,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cartodb_id,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E6100000000000005E7252C00000006050634440,401880,0101000020110F0000C2BFA6766A555FC12047DA61A3FE5241,40.7758903503418,-73.7869873046875,Queens,A1,ALT 1 Enlargement,421621445,4130032,A1,6168,true,1800,6/27/2019,3/13/2020 12:00,23-76,206 ST,407,A. PROSPEROUS CONSTRUCTIO,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000040647252C0000000C050634440,220000,0101000020110F00000691691475555FC104FB84CDA3FE5241,40.7759017944336,-73.7873687744141,Queens,A1,ALT 1 Enlargement,421306483,4130038,A1,6169,true,669,10/8/2019,5/8/2020 12:00,23-69,205 STREET,407,VEMA-P LLC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000040E37A52C00000006052634440,914500,0101000020110F0000B80A3E89E3635FC1EF6913A0A5FE5241,40.775951385498,-73.9201202392578,Queens,A1,ALT 1 Enlargement,421891830,4019234,A1,6170,true,3525,11/14/2019,4/18/2020 12:00,23-05,24TH AVENUE,401,CELATECH CONSTRUCTION COR,RESIDENTIAL: APARTMENT HOUSES,4,7
0101000020E610000000000000937C52C0000000A053634440,20731544,0101000020110F00001F312CE8C0665FC14331F706A7FE5241,40.7759895324707,-73.9464721679688,Manhattan,NB,New Building,123062078,1051260,NB,6171,false,140078,1/24/2019,1/24/2020 12:00,511,EAST 86TH STREET,108,K S K CONSTRUCTION GROUP,RESIDENTIAL: APARTMENT HOUSES,22,140
0101000020E6100000000000C0DA7552C00000000054634440,648980,0101000020110F00009D27A2E3565B5FC1B3EFA172A7FE5241,40.7760009765625,-73.8414764404297,Queens,NB,New Building,421300844,4611157,NB,6172,false,4385,5/8/2019,2/7/2020 12:00,25-17,127TH STREET,407,PAN LINK CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E6100000000000E00D7D52C00000004054634440,1000000,0101000020110F0000839F5A9F91675FC1FD1969BAA7FE5241,40.776008605957,-73.953971862793,Manhattan,A1,ALT 1 Enlargement,121193626,1048666,A1,6173,true,1595,2/7/2019,2/7/2020 12:00,238 1/2,EAST 83 STREET,108,IGX CONSTRUCTION LLC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,6,2
0101000020E610000000000000D67552C00000004055634440,1462240,0101000020110F0000CF9222D24E5B5FC191C885D9A8FE5241,40.7760391235352,-73.8411865234375,Queens,NB,New Building,421300684,4617908,NB,6174,false,9880,5/8/2019,2/7/2020 12:00,25-15,127TH STREET,407,PAN LINK CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
0101000020E610000000000060B67B52C0000000A055634440,7908824,0101000020110F00001D8935274A655FC1418C3045A9FE5241,40.776050567627,-73.9330062866211,Queens,NB,New Building,421186362,4618329,NB,6175,false,53438,9/26/2019,5/16/2020 12:00,26-02,4TH STREET,401,DASR CORP,RESIDENTIAL: APARTMENT HOUSES,7,46
0101000020E610000000000060DC7C52C0000000A056634440,1572000,0101000020110F00002DD4AF8A3D675FC1BB464D64AAFE5241,40.7760810852051,-73.9509506225586,Manhattan,A1,ALT 1 Enlargement,123027189,1049965,A1,6176,true,1339,4/1/2019,3/27/2020 12:00,343,EAST 84TH STREET,108,NERTON CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
0101000020E6100000000000C0527A52C0000000E057634440,5212116,0101000020110F00004B9F9B16EE625FC1F83B31CBABFE5241,40.7761192321777,-73.9113006591797,Queens,NB,New Building,421318586,4437015,NB,6177,false,35217,5/31/2019,1/30/2020 12:00,22-06,31 STREET,401,PAV-LAK CONTRACTING INC,MERCANTILE,3,
0101000020E6100000000000407A6F52C0000000E057634440,420000,0101000020110F00004A6F75EC81505FC1F83B31CBABFE5241,40.7761192321777,-73.7418365478516,Queens,A1,ALT 1 Enlargement,421597409,4169709,A1,6178,true,2211,7/24/2019,6/11/2020 12:00,254-11,38 AVENUE,411,JC BROTHERS DEVELOPMENT,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000060097A52C0000000205B634440,285480,0101000020110F00003BFC177471625FC1CBF84E70AFFE5241,40.7762184143066,-73.9068222045898,Queens,A1,ALT 1 Enlargement,421418861,4016574,A1,6179,true,0,11/13/2019,11/30/2019 12:00,21-11,35 STREET,401,DYNAMO CONST GROUP LLC,RESIDENTIAL: APARTMENT HOUSES,3,3
